Sample ID,(Y/N) Transcribed from 2024 data sheets,Latitude,Longitude,Site Owner,(Y/N) Canker Status Written On Sample Bag,Notes on sample collection,Site number or initial,Month sampled,Date Sampled,Photo numbers,Slope,Aspect,Plant height (ft),DBH (cm),Producing seed?,Collected,Percent live canopy,Number of epicormic branches/ sprouts from the base,Number of epicormic branches/ sprouts from the trunk,Visible cankers? (according to health assessment form),"If large cankers present, are they being calloused over?",Area of trunk infected by canker (%),Area of base/ root flare infected by canker (%),"If trees are infected, severity of infection",Shape of terminal bud (true/ hybrid character),Shape of bud scar (true/ hybrid character),Shape/ length of lenticels (true/ hybrid character),"If fruits are visible, how many in a bunch?",Plant associates,Any additional notes (from health assessment form),Seedling (Y/N)
JC-W-2NSCE-1,,37.60946,-89.43479,US Forest Service,,Scatters Rd 1,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-1NSCE-1,,37.706245,-89.485664,US Forest Service,,Fountain Bluff duplicate,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-1NSCE-1,,37.706245,-89.485664,US Forest Service,,Fountain Bluff,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-3NSCE-1,,37.219075,-89.338586,US Forest Service,,Wolf Creek,9/10/24,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-3NSCE-1,,37.219075,-89.338586,US Forest Service,,,9/24/24,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-2NSCE-2,,37.219268,-89.338209,US Forest Service,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-2NSCE-3,,37.219412,-89.33815,US Forest Service,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-3NSCE-4,,37.219165,-89.3318182,US Forest Service,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-HPCA-1,,42.46958,-88.556228,McHenry County Conservation District,N,,HPCA,September,,339-349,0,NA,15,6.4,No,2 leaves,99,0,0,No,None present,0,0,NA,3,2,1,NA,"autumn olive, vitis sp., tall goldenrod, mulitflora rose, daucus carota, cornus racemosa, rhamnus cathartica, kentucky blue grass",possible hybrid,
JC-W-HPCA-2,Y,42.469534,-88.556018,McHenry County Conservation District,Y,,HPCA,September,,350-361,0,NA,12,3.5,No,2 leaves,100,0,0,Yes,Yes,20,0,1,2,2,1,NA,"cornus racemosa, solidago altissima, rhamnus cathartica, daucus carota, clematis",,
JC-W-HPCA-3,Y,42.469469,-88.55595,McHenry County Conservation District,Y,,HPCA,September,,362-372,0,NA,7,2.2,No,2 leaves,-,1,1,Yes,Yes,60,10,4,1,1,1,NA,"lonicera sp., rosa multiflora, solidago altissima",,
JC-W-HPCA-4,Y,42.469475,-88.55594,McHenry County Conservation District,Y,,HPCA,September,,373-380,0,NA,6,1.3,No,2 leaves,100,0,0,Yes,No,30,10,2,1,1,1,NA,"solidago altissima, rhamnus cathartica, rosa multiflora, trifolium pratense, autmn olive, kentucky blue grass",,
JC-W-HPCA-5,Y,42.469355,-88.55644,McHenry County Conservation District,Y,,HPCA,September,,381-393,0,NA,25,16.8,No,2 leaves,50,0,0,Yes,Yes,10,20,3,1,1,1,NA,"solidago altissima, rubus occidentalis, kentucky blue grass",DBH on larger trcnk (s trunk),
JC-W-HPCA-6,Y,42.46947,-88.556535,McHenry County Conservation District,Y,,HPCA,September,,394-405,0,NA,8,3.7,No,2 leaves,100,0,0,Yes,Yes,10,0,1,2,2,1,NA,"goldenrod, riverbank grape, red oak, kentucky blue grass, rose","more hybrid, potentially",
JC-W-HPCA-7,Y,42.469594,-88.556359,McHenry County Conservation District,N,,HPCA,September,,406-417,0,NA,10,2.8,,2 leaves,,0,0,,None present,0,0,,,,,,"sumac, goldenrod, riverbank grape, reed canary grass","pretty healthy, leaves are unusually yellow considering its still really warm. Might be a black walnut",
JC-W-HPCA-8,Y,42.469625,-88.556588,McHenry County Conservation District,Y,,HPCA,September,,418-430,0,NA,13,3.7,,2 leaves,100,0,0,Yes,None present,10,0,,1,1,1,,"tall goldenrod, common buckthorn, lactuca sp., riverbank grape, kentucky blue grass",,
JC-W-HPCA-9,Y,42.469889,-88.556567,McHenry County Conservation District,N,,HPCA,September,,431-441,0,NA,7,2.3,No,2 leaves,100,0,0,No,None present,0,0,1,1,1,1,,"red oak, bur oak, black walnut, bee balm, rubus occidentalis",,
JC-W-HPCA-10,Y,42.46929,-88.556638,McHenry County Conservation District,Y,,HPCA,September,,442-452,0,NA,20,8.3,No,2 leaves,100,0,1,Yes,No,40,50,2,1,1,1,,goldenrod,,
JC-W-HPCA-11,Y,42.469353,-88.556628,McHenry County Conservation District,N,,HPCA,September,,454-464,0,NA,7,1.9,No,2 leaves,100,0,0,Yes,Yes,10,0,1,1,2,1,,"sumac, goldenrod",,
JC-W-CSFP-1*sd1,,,,DeKalb County Forest Preserve,N,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-CSFP-1*sd2,,,,DeKalb County Forest Preserve,N,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-CSFP-1*sd3,,,,DeKalb County Forest Preserve,N,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-CSFP-1*sd4,,,,DeKalb County Forest Preserve,N,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-CSFP-1*sd5,,,,DeKalb County Forest Preserve,N,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-CSFP-1*sd6,,,,DeKalb County Forest Preserve,N,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-AFP-1,Y,41.828821,-88.73026,DeKalb County Forest Preserve,Y,,AFP,September,,243-260,0,NA,15,"9.2, 9.4, 9.6",Yes,leaves,95,0,0,Yes,Yes,40,10,3,1,1,1,2,"weeds, grasses","calloused over cankers, the canopy isn't bad. I struggled to give it a 3 health rating because the canopy is solid. Multiple trunks, but that might be because of the damage that occurred previously from mowing causing it to split the trunk. Trees are resilient!",
JC-W-AFP-2,Y,41.828786,-88.730196,DeKalb County Forest Preserve,Y,,AFP,September,,261-274,0,NA,18,9.9,No,leaves,100,1,0,Yes,Yes,50,0,3,1,1,1,0,"grasses, epicormic sprout at base",One of the trees I have felt most confident in saying it is a butternut,
JC-W-AFP-3,Y,41.82883,-88.730049,DeKalb County Forest Preserve,N,,AFP,September,,275-288,0,NA,13,"5.3, 3.1",No,leaves,100,0,0,No,,0,0,1,1,1,1,,,"Phone died, so it was hard to gauge terminal bud",
JC-W-AFP-4,Y,41.828713,-88.730095,DeKalb County Forest Preserve,Y,,AFP,September,,289-300,0,NA,18,11.4. 12.6,No,leaves,100,0,0,Yes,Yes,30,0,2,1,1,1,,,"In the case of trees in Afton forest preserves, there is a lot of vigorous canopy growth",
JC-W-AFP-5,Y,41.828415,-88.730829,DeKalb County Forest Preserve,Y,,AFP,September,,301-311,1,NA,30,20,No,leaves,100,0,3,Yes,Yes,20,0,2,1,1,2,,,Lenticels not clearly visible,
JC-W-AFP-6,Y,41.828385,-88.730856,DeKalb County Forest Preserve,Y,,AFP,September,,312-322,1,NA,24,30.8,No,leaves,100,1,1,Yes,Yes,10,0,1,2,1,2,,,,
JC-W-AFP-7,Y,41.828284,-88.730869,DeKalb County Forest Preserve,Y,,AFP,September,,323-338,1,NA,20,12.1,No,leaves,100,1,2,Yes,None present,10,0,1,1,1,1,,,Very healthy!,
JC-W-CSFP-1,Y,41.75084,-88.850731,DeKalb County Forest Preserve,Y,,CSFP,September,,214-227,10,,60,31.5,Yes,leaves,99-100,0,2,Yes,,20,35,2,1,1,1,2-3,,"vigorous canapy, doing well despite cankers",
JC-W-CSFP-2,Y,41.750963,-88.850833,DeKalb County Forest Preserve,Y,,CSFP,September,,228-242,5,,60,29.6,No,leaves,40,0,2,Yes,Yes,20,80,4,1,2,1,,,"less healthy, more cankers, more sprouts",
G_Fessler_4,,42.41764,-88.92428,Boone County Conservation District,Y,Collected by Grant Fessler,,,,,,,,,,,,,,,,,,,,,,,,,
G_Fessler_3,,42.41723,-88.92062,Boone County Conservation District,N,Collected by Grant Fessler,,,,,,,,,,,,,,,,,,,,,,,,,
G_Fessler_6,,41.5006,-90.5369,City of Moline,Y,Collected by Grant Fessler,,,,,,,,,,,,,,,,,,,,,,,,,
G_Fessler_1,,41.46791,-90.57757,Black Hawk State Park,Y,Collected by Grant Fessler,,,,,,,,,,,,,,,,,,,,,,,,,
G_Fessler_2,,41.46799,-90.57734,Black Hawk State Park,Y,Collected by Grant Fessler,,,,,,,,,,,,,,,,,,,,,,,,,
G_Fessler_5,,41.48705,-90.55062,City of Rock Island,Y,Collected by Grant Fessler,,,,,,,,,,,,,,,,,,,,,,,,,
G_Fessler_7,,41.61225,-90.33122,Rock Island County Forest Preserve District,Y,Collected by Grant Fessler,,,,,,,,,,,,,,,,,,,,,,,,,
